zip_code,city,state,region_id,msa_name,median_home_value,median_rent,days_pending,price_cuts_percent,market_heat,price_to_rent
01519,GRAFTON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01520,HOLDEN,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01522,JEFFERSON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01523,LANCASTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01524,LEICESTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01525,LINWOOD,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01527,MILLBURY,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01529,MILLVILLE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01531,NEW BRAINTREE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01532,NORTHBOROUGH,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01534,NORTHBRIDGE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01535,NORTH BROOKFIELD,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01536,NORTH GRAFTON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01537,NORTH OXFORD,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01538,NORTH UXBRIDGE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01540,OXFORD,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01541,PRINCETON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01542,ROCHDALE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01543,RUTLAND,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01545,SHREWSBURY,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01550,SOUTHBRIDGE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01560,SOUTH GRAFTON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01562,SPENCER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01564,STERLING,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01566,STURBRIDGE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01568,UPTON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01569,UXBRIDGE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01570,WEBSTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01571,DUDLEY,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01581,WESTBOROUGH,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01583,WEST BOYLSTON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01585,WEST BROOKFIELD,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01586,WEST MILLBURY,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01588,WHITINSVILLE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01590,SUTTON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01602,WORCESTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01603,WORCESTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01604,WORCESTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01605,WORCESTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01606,WORCESTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01607,WORCESTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01608,WORCESTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01609,WORCESTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01610,WORCESTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01611,CHERRY VALLEY,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01612,PAXTON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01613,WORCESTER,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01740,BOLTON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01745,FAYVILLE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01747,HOPEDALE,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01756,MENDON,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01757,MILFORD,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01772,SOUTHBOROUGH,MA,395238,"Worcester, MA",462589.79,6400.0,32.0,0.2,66.0,6.02
01431,ASHBY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01432,AYER,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01450,GROTON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01460,LITTLETON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01463,PEPPERELL,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01464,SHIRLEY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01469,TOWNSEND,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01474,WEST TOWNSEND,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01701,FRAMINGHAM,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01702,FRAMINGHAM,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01703,FRAMINGHAM,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01704,FRAMINGHAM,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01718,ACTON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01719,BOXBOROUGH,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01720,ACTON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01721,ASHLAND,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01730,BEDFORD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01731,HANSCOM AFB,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01741,CARLISLE,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01742,CONCORD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01746,HOLLISTON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01748,HOPKINTON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01749,HUDSON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01752,MARLBOROUGH,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01754,MAYNARD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01760,NATICK,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01770,SHERBORN,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01773,LINCOLN,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01775,STOW,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01776,SUDBURY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01778,WAYLAND,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01801,WOBURN,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01803,BURLINGTON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01810,ANDOVER,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01821,BILLERICA,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01822,BILLERICA,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01824,CHELMSFORD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
